ID	length	GC_num	IC_num	goodC_num	IC%	MD	TPR/FPRsum_min	TPR/FPRsum1	TPR/FPRsum2	TPR/FPRsum3	TPR/FPRsum4	TPR/FPRsum5	TPR/FPRsum6	TPR/FPRsum7	TPR/FPRsum8	TPR/FPRsum9	TPR/FPRsum_max	TPR_min	TPR_1	TPR_2	TPR_3	TPR_4	TPR_5	TPR_6	TPR_7	TPR_8	TPR_9	TPR_max	FPR_min	FPR_1	FPR_2	FPR_3	FPR_4	FPR_5	FPR_6	FPR_7	FPR_8	FPR_9	FPR_max	f_MEC	f_OLS	f_OLS/MD^2	f_FMC	f_fastmeC	f_newC	f_newC/nonIC_num	f_tree_length	f_topo	f_jk30	f_jk50	f_jk70	U_MEC	U_OLS	U_OLS/MD^2	U_FMC	U_fastmeC	U_newC	U_newC/nonIC_num	U_tree_length	U_topo	U_jk30	U_jk50	U_jk70	f/U_MEC	f/U_OLS	f/U_FMC	f/U_fastmeC	f/U_newC	f/U_topo	f/U_jk30	f/U_jk50	f/U_jk70	division
Pf_001_PF00684_1	61	1	21	39	34.43	0.6528	0.0001	0.0239	0.042	0.07	0.0901	0.1182	0.1494	0.1866	0.2263	0.286	0.5687	0.0001	0.0203	0.0366	0.0569	0.0735	0.1054	0.1335	0.173	0.2279	0.3017	0.4974	0	0.0104	0.0231	0.0356	0.0509	0.0661	0.0826	0.1026	0.1298	0.1703	0.3123	6.0186	0.8606	2.0195	1.8227	0.2916	28744	718.6	3.929	1082	350	574	778	6.09	1.4495	3.4014	3.3247	0.2912	28715	717.88	3.976	1068	299	514	697	0.9883	0.5937	0.5482	1.0014	1.001	1.0131	1.1706	1.1167	1.1162	fitch
Pf_006_PF01327_1	161	10	31	120	19.25	0.76	0	0.03	0.0444	0.0746	0.1037	0.1379	0.1683	0.2072	0.265	0.3512	0.7256	0	0.0132	0.0268	0.045	0.0646	0.0915	0.112	0.1445	0.1828	0.2338	0.5538	0.0001	0.0076	0.016	0.0252	0.0365	0.0486	0.0604	0.0726	0.0913	0.1159	0.255	6.3378	0.6266	1.0848	0.8816	0.3064	74281	571.39	4.817	1106	509	703	898	6.4302	1.2057	2.0874	2.01	0.307	73669	566.68	4.887	1055	475	655	893	0.9856	0.5197	0.438	0.998	1.0083	1.0483	1.0716	1.0733	1.0056	UPGMA
Pf_007_PF01066_1	203	124	6	73	2.96	1.2665	0.0005	0.03	0.0552	0.08	0.1209	0.1441	0.1686	0.2066	0.2736	0.3515	0.7126	0.0003	0.0203	0.0384	0.0544	0.0745	0.0957	0.1189	0.151	0.2071	0.2866	0.5579	0.0001	0.0091	0.0177	0.0268	0.037	0.0487	0.0628	0.0797	0.1011	0.136	0.367	5.9164	2.5551	1.5929	1.0002	0.2831	107810	547.26	7.493	1175	655	803	959	6.0466	5.1936	3.2379	2.64	0.2906	104574	530.83	7.659	1064	689	871	968	0.9785	0.4920	0.3791	0.9742	1.0309	1.1043	0.9507	0.9219	0.9907	fitch
Pf_012_PF02091_1	308	30	114	164	37.01	0.4153	0.0006	0.03	0.05	0.08	0.114	0.15	0.1957	0.2397	0.2864	0.3361	0.5804	0.0003	0.0127	0.023	0.0344	0.0504	0.0712	0.0881	0.1072	0.131	0.1673	0.3372	0	0.006	0.0124	0.0189	0.0253	0.0327	0.041	0.052	0.0633	0.084	0.1738	5.2318	0.105	0.6088	0.5217	0.2502	145139	748.14	2.173	1244	922	1029	1094	5.2766	0.2218	1.2860	1.16	0.2512	144463	744.65	2.192	1215	871	1002	1041	0.9915	0.4734	0.4513	0.996	1.0047	1.0239	1.0586	1.0269	1.0509	UPGMA
Pf_013_PF00344_1	357	21	95	241	26.61	0.5454	0.0003	0.03	0.0626	0.1	0.144	0.19	0.2511	0.2942	0.3531	0.4566	0.8907	0.0002	0.0134	0.0292	0.0479	0.064	0.0833	0.1052	0.1417	0.1831	0.2387	0.5267	0	0.006	0.0119	0.0187	0.0254	0.0342	0.0446	0.0542	0.0679	0.0895	0.1974	5.579	0.1894	0.6367	0.4909	0.2674	181632	693.25	3.043	1206	844	995	1090	5.5118	0.9378	3.1527	2.85	0.269	179814	686.31	3.005	1102	887	996	1063	1.0122	0.2020	0.1725	0.9941	1.0101	1.0944	0.9515	0.999	1.0254	fitch
Pf_014_PF00953_1	222	38	42	142	18.92	0.7215	0.0002	0.03	0.0551	0.09	0.1119	0.15	0.1867	0.2206	0.2654	0.321	0.7725	0.0001	0.0136	0.0243	0.0421	0.0639	0.078	0.098	0.1224	0.1537	0.2042	0.57	0	0.0068	0.0142	0.0212	0.0291	0.0378	0.0477	0.059	0.0767	0.1065	0.2887	5.3788	0.5062	0.9724	0.7006	0.2572	124488	691.6	3.881	1224	711	871	989	5.3466	1.222	2.3475	2.06	0.2629	124058	689.21	3.859	1158	747	856	989	1.006	0.4142	0.3395	0.9783	1.0035	1.057	0.9518	1.0175	1	fitch
Pf_018_PF01134_1	394	5	136	253	34.52	0.5193	0.0003	0.03	0.0696	0.11	0.131	0.17	0.2025	0.2398	0.3357	0.4933	1.2258	0.0001	0.0101	0.0212	0.0348	0.046	0.0565	0.071	0.091	0.114	0.148	0.3247	0.0001	0.0051	0.0092	0.0139	0.0188	0.024	0.0308	0.0375	0.0475	0.0606	0.1365	5.6826	0.0763	0.2829	0.272	0.2716	193397	749.6	2.951	1211	774	907	1022	5.7932	0.3305	1.2256	1.06	0.2725	193260	749.07	3.008	1205	783	929	1029	0.9809	0.2309	0.2571	0.9967	1.0007	1.005	0.9885	0.9763	0.9932	UPGMA
Pf_019_PF00318_1	218	2	52	164	23.85	0.5824	0.0004	0.03	0.0525	0.08	0.1073	0.14	0.1637	0.1893	0.233	0.3147	0.7381	0.0002	0.0106	0.0219	0.0346	0.049	0.0662	0.0777	0.0963	0.1231	0.1588	0.294	0	0.0063	0.0115	0.0177	0.0242	0.0322	0.0418	0.0523	0.0681	0.0863	0.1939	5.5944	0.1907	0.5622	0.5412	0.27	127153	765.98	3.258	1212	779	919	978	5.6182	0.3718	1.0961	1.04	0.271	126745	763.52	3.271	1176	767	891	983	0.9958	0.5129	0.5186	0.9963	1.0032	1.0306	1.0156	1.0314	0.9949	fitch
Pf_020_PF01380_2	134	17	34	83	25.37	0.7498	0.0002	0.02	0.0408	0.08	0.0988	0.12	0.1532	0.1857	0.2195	0.2805	0.7695	0.0001	0.0104	0.023	0.0376	0.049	0.0622	0.08	0.1046	0.1323	0.1734	0.6324	0	0.0072	0.0155	0.0225	0.0303	0.0388	0.0483	0.0608	0.076	0.099	0.2432	5.0456	0.4118	0.7325	0.6238	0.243	87283	872.83	3.783	1222	800	957	1046	5.0946	0.7196	1.2800	1.52	0.2441	87057	870.57	3.82	1198	857	951	956	0.9904	0.5723	0.4113	0.9955	1.0026	1.02	0.9335	1.0063	1.0941	fitch
Pf_021_PF00119_1	252	60	14	178	5.56	1.3689	0.0001	0.03	0.0519	0.08	0.0949	0.12	0.1541	0.1845	0.2186	0.2767	0.5739	0.0001	0.0096	0.0187	0.0285	0.0387	0.0498	0.063	0.0794	0.1065	0.1474	0.4538	0.0001	0.005	0.0105	0.0163	0.0225	0.0294	0.0367	0.0464	0.0617	0.0847	0.1938	4.4058	1.4213	0.7585	0.653	0.2104	251662	1057.4	6.031	1210	767	893	993	4.4408	1.8983	1.0130	1.24	0.2119	252235	1059.81	6.079	1192	879	978	1042	0.9921	0.7487	0.5258	0.9929	0.9977	1.0151	0.8726	0.9131	0.953	fitch
