ID	length	GC_num	IC_num	goodC_num	IC%	TPR/FPRsum_min	TPR/FPRsum1	TPR/FPRsum2	TPR/FPRsum3	TPR/FPRsum4	TPR/FPRsum5	TPR/FPRsum6	TPR/FPRsum7	TPR/FPRsum8	TPR/FPRsum9	TPR/FPRsum_max	TPR_min	TPR_1	TPR_2	TPR_3	TPR_4	TPR_5	TPR_6	TPR_7	TPR_8	TPR_9	TPR_max	FPR_min	FPR_1	FPR_2	FPR_3	FPR_4	FPR_5	FPR_6	FPR_7	FPR_8	FPR_9	FPR_max	MEC	OLS	OLS/MD^2	FMC	fastmeC	newC	newC/nonIC_num	tree_length	MD	topo	jk30	jk50	jk70	division
F_000_PF03367_2	175	30	27	118	15.43	0.0001	0.0229	0.056	0.0795	0.1055	0.1286	0.1488	0.192	0.2491	0.3335	0.6837	0	0.009	0.0187	0.0324	0.0446	0.0601	0.0742	0.1013	0.1292	0.1818	0.3454	0	0.0058	0.0121	0.0184	0.0254	0.0329	0.0417	0.0527	0.0648	0.0814	0.1792	5.4194	0.3051	0.6186	0.5081	0.2589	106384	718.81	3.806	0.7023	1219	750	888	969	good
F_001_PF01398_2	116	50	26	40	22.41	0.0005	0.03	0.0594	0.0895	0.1144	0.1584	0.2005	0.2456	0.302	0.4473	0.8921	0.0002	0.014	0.0288	0.0417	0.0621	0.0787	0.1002	0.1238	0.1709	0.2516	0.9261	0	0.0058	0.0122	0.0195	0.0259	0.0342	0.0434	0.0556	0.0711	0.0975	0.3003	4.865	0.1386	1.0784	1.0863	0.2341	55411	615.68	1.744	0.3585	1212	708	818	945	good
F_003_PF00916_2	289	12	67	210	23.18	0.0008	0.04	0.0716	0.11	0.1535	0.1935	0.2538	0.3073	0.4019	0.5139	0.7967	0.0002	0.015	0.0251	0.0425	0.0573	0.0789	0.099	0.1294	0.1678	0.2082	0.4207	0	0.0049	0.0103	0.0155	0.0212	0.0278	0.0345	0.0436	0.0561	0.0745	0.1595	4.9014	0.2794	0.4368	0.3704	0.2337	200640	903.78	3.92	0.7998	1314	1046	1120	1173	good
F_005_PF01507_1	188	13	63	112	33.51	0.0037	0.03	0.0666	0.11	0.1361	0.17	0.2086	0.257	0.3157	0.4223	0.7328	0.0017	0.0142	0.03	0.0521	0.0703	0.0881	0.1178	0.1385	0.1844	0.2296	0.4151	0.0001	0.0055	0.0116	0.019	0.0265	0.0362	0.0491	0.0617	0.0776	0.1001	0.2295	5.2262	0.2038	0.7255	0.6425	0.2506	102824	822.59	2.77	0.53	1300	933	1035	1101	good
F_006_PF00227_2	192	17	76	99	39.58	0.0001	0.03	0.0724	0.12	0.1618	0.21	0.2539	0.3081	0.3918	0.5233	1.5113	0.0001	0.014	0.0298	0.0462	0.0635	0.0876	0.1076	0.137	0.168	0.2508	0.4519	0.0001	0.0058	0.0121	0.0185	0.0243	0.0314	0.0392	0.0485	0.0598	0.0767	0.1905	5.0834	0.047	0.5840	0.4337	0.2437	70513	607.87	1.442	0.2837	1307	805	1005	1094	good
F_007_PF03105_1	378	311	1	66	0.26	0.0003	0.03	0.0683	0.1	0.1381	0.17	0.1991	0.2548	0.3159	0.4675	1.1513	0.0002	0.0178	0.034	0.0543	0.0751	0.0957	0.1275	0.1735	0.2253	0.3029	0.5539	0	0.0068	0.0136	0.022	0.0307	0.0406	0.0524	0.065	0.0831	0.1109	0.2551	4.515	1.7349	1.1756	0.829	0.2163	121883	323.3	5.485	1.2148	1288	985	1068	1125	bad
F_008_PF01544_1	338	148	57	133	16.86	0.0002	0.03	0.0585	0.09	0.1166	0.15	0.1916	0.261	0.342	0.5349	1.1324	0	0.0069	0.0161	0.026	0.0375	0.0476	0.0662	0.0887	0.1236	0.1839	0.4293	0	0.0035	0.0076	0.0115	0.0163	0.0216	0.027	0.0333	0.0439	0.0674	0.1862	4.4352	0.2204	0.7212	0.5195	0.2118	239659	852.88	2.452	0.5528	1337	1058	1144	1157	bad
F_009_PF00466_2	103	2	43	58	41.75	0.0003	0.03	0.055	0.08	0.1077	0.14	0.1719	0.2247	0.2977	0.4244	0.9114	0.0002	0.015	0.032	0.0474	0.0674	0.0809	0.1032	0.1406	0.192	0.2635	0.6815	0	0.005	0.0138	0.0219	0.0309	0.0417	0.0557	0.069	0.0891	0.1215	0.291	4.7138	0.158	1.2615	1.0007	0.2284	56561	942.68	1.668	0.3539	1214	688	872	996	good
F_010_PF00004_1	129	5	51	73	39.53	0.0011	0.04	0.07	0.11	0.1657	0.23	0.2967	0.3899	0.4738	0.628	1.3027	0.0005	0.0173	0.0358	0.0545	0.0859	0.1204	0.1513	0.1861	0.248	0.346	0.7443	0.0001	0.0061	0.0123	0.0186	0.0255	0.0342	0.043	0.0552	0.071	0.1015	0.2221	4.7068	0.1454	1.0318	0.7774	0.2282	69879	895.88	1.767	0.3754	1295	823	971	1081	good
F_011_PF10607_1	221	92	18	111	8.14	0.0003	0.02	0.0548	0.09	0.1185	0.16	0.2142	0.2649	0.3527	0.5101	1.2741	0.0002	0.0088	0.0206	0.0351	0.0506	0.0724	0.0998	0.1299	0.167	0.2244	0.418	0	0.0056	0.0119	0.0175	0.024	0.0296	0.0381	0.0475	0.0594	0.0815	0.2032	4.6018	0.8764	0.6861	0.5511	0.2199	136887	674.32	5.201	1.1302	1238	909	1023	1083	good
